Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2013;49;171;QUIRUELAS DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;;;8
2013;49;171;QUIRUELAS DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;;;2
2013;49;171;QUIRUELAS DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;171;QUIRUELAS DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;155;;
2013;49;171;QUIRUELAS DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1500/00;VIVEROS;VIVEROS;;;;1
2013;49;172;RABANALES;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;12;;
2013;49;175;REVELLINOS;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;1;;
2013;49;176;RIOFRIO DE ALISTE;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;119;;
2013;49;177;RIONEGRO DEL PUENTE;1;SANABRIA;1200/01;FRUTALES;MANZANO;;2;;
2013;49;177;RIONEGRO DEL PUENTE;1;SANABRIA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;1;;
2013;49;178;ROALES;4;CAMPOS-PAN;1200/01;FRUTALES;MANZANO;;;;1
2013;49;178;ROALES;4;CAMPOS-PAN;1200/02;FRUTALES;PERAL;;;;1
2013;49;178;ROALES;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;8;;
2013;49;179;ROBLEDA-CERVANTES;1;SANABRIA;1200/01;FRUTALES;MANZANO;;1;;
2013;49;181;ROSINOS DE LA REQUEJADA;1;SANABRIA;1200/01;FRUTALES;MANZANO;;1;;
2013;49;184;SAMIR DE LOS CAÑOS;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;25;;
2013;49;185;SAN AGUSTIN DEL POZO;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;3;;
